media_id,tweet_id,handle,posted_at,tweet_url,content_type,genre_refs,like_count,retweet_count,engagement,notable_text,description
3_2048857096452792320,2048857221824381171,WhiteHouse,2026-04-27,https://x.com/WhiteHouse/status/2048857221824381171,"poster (AI-generated, vintage style)","Vintage WPA / WWII-era patriotic poster, pun on ICE/NICE",76106,14784,90890,NICE AGENTS | DEFENDING OUR COUNTRY,"Vintage-styled, distressed AI-generated poster with a sepia/aged-paper palette, weathered borders, and a halftone illustration look. The headline at top in large bold distressed navy serif/slab letters reads 'NICE AGENTS'. The central illustration depicts an officer in a dark cap, tactical vest, and uniform kneeling on one knee with his hand on the shoulder of a young boy who looks up at him; the officer's vest and a shoulder patch are labeled 'NICE'. To the left is a tattered American flag on a pole; in the background are a watchtower silhouette, a fence or wall, mountains, and a cloudy sky. A bottom banner with two stars reads 'DEFENDING OUR COUNTRY'. The accompanying tweet reads 'ICE -> NICE AGENTS. National Immigration and Customs Enforcement. DO IT!'"
3_1882955708653604864,1882955710612291627,ICEgov,2025-01-25,https://x.com/ICEgov/status/1882955710612291627,infographic (statistics card),,65991,5997,71988,"Enforcement Update January 24, 2025 | 593 Arrests | 449 Detainers Lodged | ICE single-day statistics","Statistics card on a deep navy-blue textured (wood-grain-like) background. Top-left is the round U.S. Department of Homeland Security seal/eagle in white, beside three lines of white serif text: 'U.S. Immigration and Customs Enforcement'. A thin red horizontal rule separates the header. Centered below in large white serif type is the headline 'Enforcement Update' with the subheading 'January 24, 2025'. The statistics are displayed in large white serif numerals: '593 Arrests' and '449 Detainers Lodged'. At the bottom in italic white serif is the caption 'ICE single-day statistics'. There are no photos."
3_1883680856448888832,1883680858453705153,ICEgov,2025-01-27,https://x.com/ICEgov/status/1883680858453705153,infographic (statistics card),,49902,5597,55499,"U.S. Immigration and Customs Enforcement | Enforcement Update | January 26, 2025 | 956 Arrests | 554 Detainers Lodged | ICE single-day statistics","A clean agency statistics card on a deep navy-blue subtly textured (wood-grain-like) background. In the upper-left is the round white U.S. Department of Homeland Security seal (eagle with shield, ringed by the text 'U.S. DEPARTMENT OF HOMELAND SECURITY'), beside three lines of white serif text reading 'U.S. Immigration and Customs Enforcement'. A thin dark-red horizontal rule runs full-width beneath the header. Centered below in large bold white serif type is the headline 'Enforcement Update' with a smaller serif subheading 'January 26, 2025'. The key statistics are stacked and centered in large white serif numerals: '956 Arrests' and '554 Detainers Lodged'. At the very bottom, centered in italic white serif, is the caption 'ICE single-day statistics'. There are no photographs or illustrations."
3_2051678502462599177,2051678505805496589,WhiteHouse,2026-05-05,https://x.com/WhiteHouse/status/2051678505805496589,AI-generated image,Cinco de Mayo / margarita-and-sombrero stereotype imagery,45453,6761,52214,UNITED STATES BORDER | I LOVE ILLEGAL IMMIGRANTS,"AI-generated image set beneath a large overhead sign reading 'UNITED STATES BORDER'. An American flag is at left; green lane signs reading 'READY LANE' and 'CARS' and bollards are visible. In the foreground two older men in dark business suits and ties sit at a small table wearing brightly colored sombreros and holding two margarita glasses together. On the table is a hand-lettered sign reading 'I LOVE ILLEGAL IMMIGRANTS', next to a bowl of tortilla chips, a bowl of salsa, a small potted cactus, and a striped placemat. The image is high-saturation and photo-realistic. The tweet text reads 'Happy Cinco de Mayo to all who celebrate!'."
3_1883317982014701568,1883317983914656217,ICEgov,2025-01-26,https://x.com/ICEgov/status/1883317983914656217,infographic (statistics card),,43450,4181,47631,"U.S. Immigration and Customs Enforcement | Enforcement Update | January 25, 2025 | 286 Arrests | 421 Detainers Lodged | ICE single-day statistics","Statistics card on a deep navy-blue subtly textured background. In the upper-left is the round white U.S. Department of Homeland Security seal (eagle with shield) beside three lines of white serif text reading 'U.S. Immigration and Customs Enforcement'. A thin dark-red horizontal rule runs full-width beneath the header. Centered below in large bold white serif type is the headline 'Enforcement Update' with a smaller serif subheading 'January 25, 2025'. The statistics are stacked and centered in large white serif numerals: '286 Arrests' and '421 Detainers Lodged'. At the bottom, centered in italic white serif, is the caption 'ICE single-day statistics'. There are no photos or illustrations."
3_2036849098423492611,2036849104219750709,DHSgov,2026-03-25,https://x.com/DHSgov/status/2036849104219750709,social media post screenshot card,,31565,6965,38530,I am so proud of our ICE Patriots! ... They are Great American Patriots ... Thank you to ICE for the GREAT job you are doing. America very much appreciates it! President DONALD J. TRUMP,"A graphic reproducing a social media post from Donald J. Trump as a rendered card. White background with a post layout: a circular profile avatar in the top-left showing a face painted in the pattern of a U.S. flag, the bold name 'Donald J. Trump' with a magenta/pink verification badge and a black plus/subscription badge, and the handle '@realDonaldTrump' beneath. The body is a block of black sans-serif text reading: 'I am so proud of our ICE Patriots! They were unfairly maligned by the Lunatic Democrats for years, and now, at the Airports, in addition to what they are supposed to be doing, they are helping people with bags, even picking up and cleaning areas. They are so proud to be there! The fact is, they shouldn’t have to do this, but they are rehabbing a fake image given to them by Radical Left Democrat politicians. The Public is loving ICE, so the Democrats, unwittingly, did us a favor, They are Great American Patriots, they just happen to have much larger, and harder, muscles than most, which is what they’re supposed to have. Thank you to ICE for the GREAT job you are doing. America very much appreciates it! President DONALD J. TRUMP'. The tweet caption reads: 'Thank you to @ICEgov heroes for the GREAT job you are doing. America very much appreciates it!'"
3_1882922076614307840,1882922078740898125,ICEgov,2025-01-24,https://x.com/ICEgov/status/1882922078740898125,infographic ('FOR THE RECORD' card),,34068,4353,38421,"FOR THE RECORD | Contrary to rumors, ICE is not giving a $750 reward for tips in support of civil immigration enforcement objectives.","Text card on a deep navy-blue textured (wood-grain-like) background. In the upper-left is the round white U.S. Department of Homeland Security seal (eagle with shield) beside three lines of white serif text reading 'U.S. Immigration and Customs Enforcement'. A thin dark-red horizontal rule runs full-width beneath the header. Centered below in very large bold white serif capitals is the headline 'FOR THE RECORD'. Beneath that, in large centered white serif type spanning four lines, is the body statement: 'Contrary to rumors, ICE is not giving a $750 reward for tips in support of civil immigration enforcement objectives.' There are no photos or illustrations."
3_1883577939494580225,1883577941210062880,ICEgov,2025-01-26,https://x.com/ICEgov/status/1883577941210062880,official statement card,,30868,4341,35209,Statement by U.S. Immigration and Customs Enforcement - 'began conducting enhanced targeted operations today in Chicago ... keeping potentially dangerous criminal aliens out of our communities.',"Statement graphic on a deep navy-blue textured background. Centered at top is the grey translucent circular seal of the U.S. Department of Homeland Security (eagle emblem ringed by 'U.S. DEPARTMENT OF HOMELAND SECURITY') above large grey 'ICE' lettering, with a thin dark-red horizontal rule beneath. Below in white serif type is the headline 'Statement by U.S. Immigration and Customs Enforcement' followed by the quoted statement: '“U.S. Immigration and Customs Enforcement, along with federal partners, including the FBI, ATF, DEA, CBP and the U.S. Marshals Service, began conducting enhanced targeted operations today in Chicago to enforce U.S. immigration law and preserve public safety and national security by keeping potentially dangerous criminal aliens out of our communities.”'"
3_1882951603830837248,1882951605433102375,ICEgov,2025-01-25,https://x.com/ICEgov/status/1882951605433102375,official statement card,,30404,4072,34476,FOR THE RECORD; 'Targeted enforcement operations are planned arrests of known criminal aliens who threaten national security or public safety.',"Designed 'FOR THE RECORD' card from ICE on a deep navy-blue textured (woodgrain) background. Top-left shows the white circular U.S. Department of Homeland Security seal next to white serif text 'U.S. Immigration and Customs Enforcement', with a thin dark-red horizontal divider rule beneath. Centered below in very large bold white serif capitals is the headline 'FOR THE RECORD'. Beneath it, in white serif with the opening phrase bolded, is the statement: 'Targeted enforcement operations are planned arrests of known criminal aliens who threaten national security or public safety.'"
3_2055048527638667264,2055049458530877831,WhiteHouse,2026-05-14,https://x.com/WhiteHouse/status/2055049458530877831,social media post screenshot card,,26165,6058,32223,"When President Xi very elegantly referred to the United States as perhaps being a declining nation... President Xi congratulated me on so many tremendous successes in such a short period of time. ... now, the United States is the hottest Nation anywhere in the world.","A screenshot of a Truth Social or X post by 'Donald J. Trump @realDonaldTrump'. The profile picture is Trump's face with an American flag stars-and-stripes overlay; a magenta verified checkmark and a black '+' subscription badge are beside the name. The image is a white card with black sans-serif body text, and one phrase is highlighted in bright yellow marker style: 'President Xi congratulated me on so many tremendous successes in such a short period of time.' The full verbatim text reads: 'When President Xi very elegantly referred to the United States as perhaps being a declining nation, he was referring to the tremendous damage we suffered during the four years of Sleepy Joe Biden and the Biden Administration, and on that score, he was 100% correct. Our Country suffered immeasurably with open borders, high taxes, transgender for everybody, men in women's sports, DEI, horrible trade deals, rampant crime, and so much more! President Xi was not referring to the incredible rise that the United States has displayed to the world during the 16 spectacular months of the Trump Administration, which includes all-time high stock markets and 401K's, military victory and thriving relationship in Venezuela, the military decimation of Iran (to be continued!) - Strongest military on earth by far, economic powerhouse again, with a record 18 trillion dollars being invested into the United States by others, best U.S. job market in history, with more people working in the United States right now than ever before, ending country destroying DEI, and so many other things that it would be impossible to readily list. In fact, President Xi congratulated me on so many tremendous successes in such a short period of time. Two years ago, we were, in fact, a Nation in decline. On that, I fully agree with President Xi! But now, the United States is the hottest Nation anywhere in the world, and hopefully our relationship with China will be stronger and better than ever before!'"
