month,phrase,DHS,ICE,CBP,White House,all_accounts
2016-03,criminal-alien,0,3,0,0,3
2016-03,illegal-alien,0,0,0,0,0
2016-03,angel-mother,0,0,0,0,0
2016-03,angel-family,0,0,0,0,0
2016-05,criminal-alien,0,1,0,0,1
2016-05,illegal-alien,0,0,0,0,0
2016-05,angel-mother,0,0,0,0,0
2016-05,angel-family,0,0,0,0,0
2016-06,criminal-alien,0,1,0,0,1
2016-06,illegal-alien,0,0,0,0,0
2016-06,angel-mother,0,0,0,0,0
2016-06,angel-family,0,0,0,0,0
2016-08,criminal-alien,0,1,0,0,1
2016-08,illegal-alien,0,1,0,0,1
2016-08,angel-mother,0,0,0,0,0
2016-08,angel-family,0,0,0,0,0
2016-09,criminal-alien,0,1,0,0,1
2016-09,illegal-alien,0,0,0,0,0
2016-09,angel-mother,0,0,0,0,0
2016-09,angel-family,0,0,0,0,0
2016-10,criminal-alien,0,1,0,0,1
2016-10,illegal-alien,0,1,0,0,1
2016-10,angel-mother,0,0,0,0,0
2016-10,angel-family,0,0,0,0,0
2016-12,criminal-alien,0,0,0,0,0
2016-12,illegal-alien,0,1,0,0,1
2016-12,angel-mother,0,0,0,0,0
2016-12,angel-family,0,0,0,0,0
2017-01,criminal-alien,0,1,0,0,1
2017-01,illegal-alien,0,0,0,0,0
2017-01,angel-mother,0,0,0,0,0
2017-01,angel-family,0,0,0,0,0
2017-02,criminal-alien,0,10,0,0,10
2017-02,illegal-alien,0,1,2,0,3
2017-02,angel-mother,0,0,0,0,0
2017-02,angel-family,0,0,0,0,0
2017-03,criminal-alien,0,2,1,0,3
2017-03,illegal-alien,0,0,0,0,0
2017-03,angel-mother,0,0,0,0,0
2017-03,angel-family,0,0,0,0,0
2017-04,criminal-alien,1,9,0,0,10
2017-04,illegal-alien,0,2,0,0,2
2017-04,angel-mother,0,0,0,0,0
2017-04,angel-family,0,0,0,0,0
2017-05,criminal-alien,0,4,0,0,4
2017-05,illegal-alien,0,2,0,0,2
2017-05,angel-mother,0,0,0,0,0
2017-05,angel-family,0,0,0,0,0
2017-06,criminal-alien,0,4,1,0,5
2017-06,illegal-alien,0,0,1,0,1
2017-06,angel-mother,0,0,0,0,0
2017-06,angel-family,0,0,0,0,0
2017-07,criminal-alien,0,6,0,0,6
2017-07,illegal-alien,0,2,2,0,4
2017-07,angel-mother,0,0,0,0,0
2017-07,angel-family,0,0,0,0,0
2017-08,criminal-alien,0,1,1,0,2
2017-08,illegal-alien,0,3,1,0,4
2017-08,angel-mother,0,0,0,0,0
2017-08,angel-family,0,0,0,0,0
2017-09,criminal-alien,1,0,0,0,1
2017-09,illegal-alien,0,1,0,0,1
2017-09,angel-mother,0,0,0,0,0
2017-09,angel-family,0,0,0,0,0
2017-10,criminal-alien,0,1,0,0,1
2017-10,illegal-alien,0,1,3,0,4
2017-10,angel-mother,0,0,0,0,0
2017-10,angel-family,0,0,0,0,0
2017-11,criminal-alien,0,0,1,0,1
2017-11,illegal-alien,0,2,1,0,3
2017-11,angel-mother,0,0,0,0,0
2017-11,angel-family,0,0,0,0,0
2017-12,criminal-alien,0,6,0,0,6
2017-12,illegal-alien,0,1,3,0,4
2017-12,angel-mother,0,0,0,0,0
2017-12,angel-family,0,0,0,0,0
2018-01,criminal-alien,0,2,0,0,2
2018-01,illegal-alien,0,1,2,0,3
2018-01,angel-mother,0,0,0,0,0
2018-01,angel-family,0,0,0,0,0
2018-02,criminal-alien,0,2,0,0,2
2018-02,illegal-alien,0,2,0,0,2
2018-02,angel-mother,0,0,0,0,0
2018-02,angel-family,0,0,0,0,0
2018-03,criminal-alien,0,2,0,1,3
2018-03,illegal-alien,0,2,1,0,3
2018-03,angel-mother,0,0,0,0,0
2018-03,angel-family,0,0,0,0,0
2018-04,criminal-alien,0,1,0,2,3
2018-04,illegal-alien,1,3,0,0,4
2018-04,angel-mother,0,0,0,0,0
2018-04,angel-family,0,0,0,0,0
2018-05,criminal-alien,0,3,0,1,4
2018-05,illegal-alien,1,1,0,0,2
2018-05,angel-mother,0,0,0,0,0
2018-05,angel-family,0,0,0,0,0
2018-06,criminal-alien,0,5,0,3,8
2018-06,illegal-alien,0,3,0,8,11
2018-06,angel-mother,0,0,0,0,0
2018-06,angel-family,0,1,0,1,2
2018-07,criminal-alien,0,5,0,1,6
2018-07,illegal-alien,0,10,1,0,11
2018-07,angel-mother,0,0,0,0,0
2018-07,angel-family,0,0,0,0,0
2018-08,criminal-alien,0,3,0,0,3
2018-08,illegal-alien,0,5,0,1,6
2018-08,angel-mother,0,0,0,0,0
2018-08,angel-family,0,0,0,0,0
2018-09,criminal-alien,0,4,0,0,4
2018-09,illegal-alien,0,3,0,0,3
2018-09,angel-mother,0,0,0,0,0
2018-09,angel-family,0,0,0,0,0
2018-10,criminal-alien,0,2,0,0,2
2018-10,illegal-alien,0,2,2,0,4
2018-10,angel-mother,0,0,0,0,0
2018-10,angel-family,0,0,0,0,0
2018-11,criminal-alien,0,3,0,0,3
2018-11,illegal-alien,0,7,4,0,11
2018-11,angel-mother,0,0,0,0,0
2018-11,angel-family,0,0,0,0,0
2018-12,criminal-alien,0,7,0,0,7
2018-12,illegal-alien,0,3,2,0,5
2018-12,angel-mother,0,0,0,0,0
2018-12,angel-family,0,0,0,0,0
2019-01,criminal-alien,0,0,0,1,1
2019-01,illegal-alien,0,0,0,3,3
2019-01,angel-mother,0,0,0,0,0
2019-01,angel-family,0,0,0,0,0
2019-02,criminal-alien,0,4,1,2,7
2019-02,illegal-alien,0,3,3,1,7
2019-02,angel-mother,0,0,0,2,2
2019-02,angel-family,0,0,0,1,1
2019-03,criminal-alien,0,3,1,0,4
2019-03,illegal-alien,1,4,11,3,19
2019-03,angel-mother,0,0,0,0,0
2019-03,angel-family,0,0,0,0,0
2019-04,criminal-alien,0,2,0,0,2
2019-04,illegal-alien,0,2,6,0,8
2019-04,angel-mother,0,0,0,0,0
2019-04,angel-family,0,0,0,0,0
2019-05,criminal-alien,1,2,0,0,3
2019-05,illegal-alien,0,0,6,2,8
2019-05,angel-mother,0,0,0,0,0
2019-05,angel-family,0,0,0,0,0
2019-06,criminal-alien,0,9,1,0,10
2019-06,illegal-alien,0,5,11,1,17
2019-06,angel-mother,0,0,0,0,0
2019-06,angel-family,0,0,0,0,0
2019-07,criminal-alien,0,16,0,0,16
2019-07,illegal-alien,0,2,9,3,14
2019-07,angel-mother,0,0,0,0,0
2019-07,angel-family,0,0,0,0,0
2019-08,criminal-alien,0,9,1,0,10
2019-08,illegal-alien,1,7,11,5,24
2019-08,angel-mother,0,0,0,0,0
2019-08,angel-family,0,0,0,0,0
2019-09,criminal-alien,0,14,0,0,14
2019-09,illegal-alien,0,9,2,1,12
2019-09,angel-mother,0,0,0,0,0
2019-09,angel-family,0,0,0,0,0
2019-10,criminal-alien,0,19,0,1,20
2019-10,illegal-alien,0,9,4,2,15
2019-10,angel-mother,0,0,0,0,0
2019-10,angel-family,0,0,0,0,0
2019-11,criminal-alien,0,13,0,0,13
2019-11,illegal-alien,0,15,6,0,21
2019-11,angel-mother,0,0,0,0,0
2019-11,angel-family,0,0,0,0,0
2019-12,criminal-alien,1,5,0,0,6
2019-12,illegal-alien,2,5,6,0,13
2019-12,angel-mother,0,0,0,0,0
2019-12,angel-family,0,0,0,0,0
2020-01,criminal-alien,2,13,1,0,16
2020-01,illegal-alien,0,3,5,0,8
2020-01,angel-mother,0,0,0,0,0
2020-01,angel-family,0,0,0,0,0
2020-02,criminal-alien,2,7,1,1,11
2020-02,illegal-alien,2,7,6,0,15
2020-02,angel-mother,0,0,0,0,0
2020-02,angel-family,0,0,0,0,0
2020-03,criminal-alien,0,6,1,0,7
2020-03,illegal-alien,0,4,6,0,10
2020-03,angel-mother,0,0,0,0,0
2020-03,angel-family,0,0,0,0,0
2020-04,criminal-alien,0,5,0,0,5
2020-04,illegal-alien,0,2,4,0,6
2020-04,angel-mother,0,0,0,0,0
2020-04,angel-family,0,0,0,0,0
2020-05,criminal-alien,0,11,0,0,11
2020-05,illegal-alien,0,5,9,0,14
2020-05,angel-mother,0,0,0,0,0
2020-05,angel-family,0,0,0,0,0
2020-06,criminal-alien,0,9,0,1,10
2020-06,illegal-alien,0,4,9,0,13
2020-06,angel-mother,0,0,0,0,0
2020-06,angel-family,0,0,0,0,0
2020-07,criminal-alien,0,5,0,0,5
2020-07,illegal-alien,0,6,19,0,25
2020-07,angel-mother,0,0,0,0,0
2020-07,angel-family,0,0,0,0,0
2020-08,criminal-alien,0,1,0,0,1
2020-08,illegal-alien,0,3,29,0,32
2020-08,angel-mother,0,0,0,0,0
2020-08,angel-family,0,0,0,0,0
2020-09,criminal-alien,4,9,0,0,13
2020-09,illegal-alien,2,1,19,0,22
2020-09,angel-mother,0,0,0,0,0
2020-09,angel-family,0,0,0,0,0
2020-10,criminal-alien,5,11,0,0,16
2020-10,illegal-alien,4,1,23,1,29
2020-10,angel-mother,0,0,0,0,0
2020-10,angel-family,0,0,0,0,0
2020-11,criminal-alien,1,4,0,1,6
2020-11,illegal-alien,2,1,15,0,18
2020-11,angel-mother,0,0,0,0,0
2020-11,angel-family,0,0,0,0,0
2020-12,criminal-alien,0,4,0,0,4
2020-12,illegal-alien,0,1,20,1,22
2020-12,angel-mother,0,0,0,0,0
2020-12,angel-family,0,0,0,0,0
2021-01,criminal-alien,0,7,0,0,7
2021-01,illegal-alien,0,0,8,0,8
2021-01,angel-mother,0,0,0,0,0
2021-01,angel-family,0,0,0,0,0
2021-03,criminal-alien,0,0,0,0,0
2021-03,illegal-alien,0,0,1,0,1
2021-03,angel-mother,0,0,0,0,0
2021-03,angel-family,0,0,0,0,0
2021-04,criminal-alien,1,0,0,0,1
2021-04,illegal-alien,0,0,0,0,0
2021-04,angel-mother,0,0,0,0,0
2021-04,angel-family,0,0,0,0,0
2021-10,criminal-alien,0,0,0,0,0
2021-10,illegal-alien,0,0,1,0,1
2021-10,angel-mother,0,0,0,0,0
2021-10,angel-family,0,0,0,0,0
2021-11,criminal-alien,0,0,0,0,0
2021-11,illegal-alien,0,0,1,0,1
2021-11,angel-mother,0,0,0,0,0
2021-11,angel-family,0,0,0,0,0
2022-09,criminal-alien,0,0,0,0,0
2022-09,illegal-alien,0,1,0,0,1
2022-09,angel-mother,0,0,0,0,0
2022-09,angel-family,0,0,0,0,0
2022-11,criminal-alien,0,0,0,0,0
2022-11,illegal-alien,0,1,0,0,1
2022-11,angel-mother,0,0,0,0,0
2022-11,angel-family,0,0,0,0,0
2025-01,criminal-alien,4,3,0,1,8
2025-01,illegal-alien,4,0,1,3,8
2025-01,angel-mother,0,0,0,0,0
2025-01,angel-family,0,0,0,0,0
2025-02,criminal-alien,12,25,0,4,41
2025-02,illegal-alien,9,12,3,6,30
2025-02,angel-mother,0,0,0,0,0
2025-02,angel-family,0,0,0,0,0
2025-03,criminal-alien,30,11,2,1,44
2025-03,illegal-alien,54,13,6,3,76
2025-03,angel-mother,0,0,0,0,0
2025-03,angel-family,0,0,0,0,0
2025-04,criminal-alien,17,28,0,0,45
2025-04,illegal-alien,46,28,4,2,80
2025-04,angel-mother,0,1,0,0,1
2025-04,angel-family,1,0,0,0,1
2025-05,criminal-alien,31,17,2,1,51
2025-05,illegal-alien,72,18,4,2,96
2025-05,angel-mother,0,0,0,0,0
2025-05,angel-family,0,0,0,0,0
2025-06,criminal-alien,48,9,1,0,58
2025-06,illegal-alien,55,3,6,3,67
2025-06,angel-mother,1,0,0,0,1
2025-06,angel-family,0,0,0,1,1
2025-07,criminal-alien,33,46,3,0,82
2025-07,illegal-alien,42,28,18,0,88
2025-07,angel-mother,0,0,0,0,0
2025-07,angel-family,0,0,0,0,0
2025-08,criminal-alien,31,30,2,0,63
2025-08,illegal-alien,55,33,12,1,101
2025-08,angel-mother,0,0,0,0,0
2025-08,angel-family,0,0,0,0,0
2025-09,criminal-alien,42,61,0,0,103
2025-09,illegal-alien,36,32,9,1,78
2025-09,angel-mother,0,0,0,0,0
2025-09,angel-family,0,0,0,0,0
2025-10,criminal-alien,27,51,6,2,86
2025-10,illegal-alien,38,45,15,15,113
2025-10,angel-mother,1,0,0,0,1
2025-10,angel-family,0,0,0,0,0
2025-11,criminal-alien,14,46,9,0,69
2025-11,illegal-alien,21,39,16,4,80
2025-11,angel-mother,0,0,0,0,0
2025-11,angel-family,0,0,0,0,0
2025-12,criminal-alien,17,62,1,1,81
2025-12,illegal-alien,25,57,18,7,107
2025-12,angel-mother,0,0,0,0,0
2025-12,angel-family,0,0,0,0,0
2026-01,criminal-alien,49,144,3,5,201
2026-01,illegal-alien,61,146,8,7,222
2026-01,angel-mother,0,0,0,1,1
2026-01,angel-family,0,0,0,1,1
2026-02,criminal-alien,72,125,3,5,205
2026-02,illegal-alien,93,115,14,12,234
2026-02,angel-mother,1,1,0,0,2
2026-02,angel-family,3,2,0,1,6
2026-03,criminal-alien,109,94,5,3,211
2026-03,illegal-alien,142,108,9,10,269
2026-03,angel-mother,1,0,0,1,2
2026-03,angel-family,3,4,0,1,8
2026-04,criminal-alien,204,38,0,3,245
2026-04,illegal-alien,272,59,7,11,349
2026-04,angel-mother,3,3,0,0,6
2026-04,angel-family,10,6,0,1,17
2026-05,criminal-alien,191,35,1,3,230
2026-05,illegal-alien,228,58,4,10,300
2026-05,angel-mother,5,0,0,3,8
2026-05,angel-family,2,2,0,0,4
2026-06,criminal-alien,95,26,0,2,123
2026-06,illegal-alien,133,42,2,7,184
2026-06,angel-mother,2,0,0,0,2
2026-06,angel-family,4,0,0,0,4
2026-07,criminal-alien,146,86,0,2,234
2026-07,illegal-alien,217,105,4,15,341
2026-07,angel-mother,0,0,0,0,0
